Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;code;beeld;v;vv
A04.0.0;Cream White;Satin;400493;722;UNI COLOURS;2018_meteon.pdf;A0400-400493;202112782_layout_outline_1.pdf;1;1
A04.1.7;Gold Yellow;Satin;400501;722;UNI COLOURS;2018_meteon.pdf;A0417-400501;202112782_layout_outline_2.pdf;2;2
A08.2.3;Salmon;Satin;400538;722;UNI COLOURS;2018_meteon.pdf;A0823-400538;202112782_layout_outline_3.pdf;1;1
A10.4.5;Sienna Brown;Satin;400558;722;UNI COLOURS;2018_meteon.pdf;A1045-400558;202112782_layout_outline_4.pdf;1;1
A11.4.4;English Red;Satin;400563;722;UNI COLOURS;2018_meteon.pdf;A1144-400563;202112782_layout_outline_5.pdf;2;2
A21.5.4;Cobalt Blue;Satin;400596;642;UNI COLOURS;2018_meteon.pdf;A2154-400596;202112782_layout_outline_6.pdf;1,7;2
A25.8.1;Anthracite Grey;Rock;400624;722;UNI COLOURS;2018_meteon.pdf;A2581-400624;202112782_layout_outline_7.pdf;1,8;2
A26.5.4;Pacific;Satin;400627;722;UNI COLOURS;2018_meteon.pdf;A2654-400627;202112782_layout_outline_8.pdf;1,9;2
A37.2.3;Spring Green;Satin;400649;722;UNI COLOURS;2018_meteon.pdf;A3723-400649;202112782_layout_outline_9.pdf;2;2
A90.0.0;Black;Rock;400652;722;UNI COLOURS;2018_meteon.pdf;A9000-400652;202112782_layout_outline_10.pdf;2,1;3
A04.1.7;Gold Yellow;Rock;404478;722;UNI COLOURS;2018_meteon.pdf;A0417-404478;202112782_layout_outline_11.pdf;2,2;3
A22.4.4;Brilliant Blue;Rock;412148;722;UNI COLOURS;2018_meteon.pdf;A2244-412148;202112782_layout_outline_12.pdf;2,3;3
A12.3.7;Carmine Red;Satin;431073;128;UNI COLOURS;2018_meteon.pdf;A1237-431073;202112782_layout_outline_13.pdf;2,4;3
A21.7.0;Steel Grey;Satin;431074;256;UNI COLOURS;2018_meteon.pdf;A2170-431074;202112782_layout_outline_14.pdf;2,5;3
A10.4.5;Sienna Brown;Satin;431078;128;UNI COLOURS;2018_meteon.pdf;A1045-431078;202112782_layout_outline_15.pdf;2,6;3
A08.8.1;Dark Brown;Satin;431102;128;UNI COLOURS;2018_meteon.pdf;A0881-431102;202112782_layout_outline_16.pdf;2,7;3
A22.2.4;Powder Blue;Satin;431126;128;UNI COLOURS;2018_meteon.pdf;A2224-431126;202112782_layout_outline_17.pdf;2,8;3
A03.0.0;White;Satin;431134;256;UNI COLOURS;2018_meteon.pdf;A0300-431134;202112782_layout_outline_18.pdf;2,9;3
A25.8.1;Anthracite Grey;Satin;431137;384;UNI COLOURS;2018_meteon.pdf;A2581-431137;202112782_layout_outline_19.pdf;3;3
NW09;Wenge;Satin;401441;21;WOOD DECORS;2018_meteon.pdf;NW09-401441;202112782_layout_outline_20.pdf;3,1;4
NW16;Milano Terra;Satin;411147;968;WOOD DECORS;2018_meteon.pdf;NW16-411147;202112782_layout_outline_21.pdf;3,2;4
NW22;Slate Wood;Matt;430263;968;WOOD DECORS;2018_meteon.pdf;NW22-430263;202112782_layout_outline_22.pdf;3,3;4
NW11;Santos Palisander;Satin;430715;171;WOOD DECORS;2018_meteon.pdf;NW11-430715;202112782_layout_outline_23.pdf;3,4;4
NW12;Natural Bagenda;Satin;430716;171;WOOD DECORS;2018_meteon.pdf;NW12-430716;202112782_layout_outline_24.pdf;3,5;4
NW17;Milano Grigio;Matt;430724;171;WOOD DECORS;2018_meteon.pdf;NW17-430724;202112782_layout_outline_25.pdf;3,6;4
NW18;Light Mahogany;Satin;430725;342;WOOD DECORS;2018_meteon.pdf;NW18-430725;202112782_layout_outline_26.pdf;3,7;4
NW22;Slate Wood;Matt;430731;171;WOOD DECORS;2018_meteon.pdf;NW22-430731;202112782_layout_outline_27.pdf;3,8;4
NW05;Loft Brown;Matt;430828;171;WOOD DECORS;2018_meteon.pdf;NW05-430828;202112782_layout_outline_28.pdf;3,9;4
NW27;Denver Oak;Matt;430895;818;WOOD DECORS;2018_meteon.pdf;NW27-430895;202112782_layout_outline_29.pdf;4;4
NA15;Indian Terra Cotta;Matt;430347;21;NATURALS;2018_meteon.pdf;NA15-430347;202112782_layout_outline_30.pdf;4,1;5
NM06;Tempered Grey;Matt, this decor has gloss elements in the surface ;430911;171;NATURALS;2018_meteon.pdf;NM06-430911;202112782_layout_outline_31.pdf;4,2;5
NM02;Forged Alloy;Matt, this decor has gloss elements in the surface ;430915;21;NATURALS;2018_meteon.pdf;NM02-430915;202112782_layout_outline_32.pdf;4,3;5
NA17;Natural Graphite;Matt;431644;342;NATURALS;2018_meteon.pdf;NA17-431644;202112782_layout_outline_33.pdf;4,4;5
M51.0.1;Aluminium Grey;Satin;431141;256;METALLICS;2018_meteon.pdf;M5101-431141;202112782_layout_outline_34.pdf;4,5;5
M05.5.1;Titanium Bronze;Satin;431151;128;METALLICS;2018_meteon.pdf;M0551-431151;202112782_layout_outline_35.pdf;4,6;5
C08.21;Brooklyn Luna;Diffuse;431529;128;FOCUS;2018_meteon.pdf;C0821-431529;202112782_layout_outline_36.pdf;4,7;5
L0500;Athens White;Specular;431220;36;LUMEN;2018_meteon.pdf;L0500-431220;202112782_layout_outline_37.pdf;4,8;5
L9000;Metropolis Black;Diffuse;431234;83;LUMEN;2018_meteon.pdf;L9000-431234;202112782_layout_outline_38.pdf;4,9;5
L9000;Metropolis Black;Specular;431236;166;LUMEN;2018_meteon.pdf;L9000-431236;202112782_layout_outline_39.pdf;5;5
L2581;New York Grey;Oblique;431237;256;LUMEN;2018_meteon.pdf;L2581-431237;202112782_layout_outline_40.pdf;5,1;6
L2581;New York Grey;Diffuse;431430;256;LUMEN;2018_meteon.pdf;L2581-431430;202112782_layout_outline_41.pdf;5,2;6
LM1055;Persian Copper;Oblique;431492;722;LUMEN;2018_meteon.pdf;LM1055-431492;202112782_layout_outline_42.pdf;5,3;6
LM1055;Persian Copper;Diffuse;431494;256;LUMEN;2018_meteon.pdf;LM1055-431494;202112782_layout_outline_43.pdf;5,4;6
LM0641;China Gold;Specular;431503;128;LUMEN;2018_meteon.pdf;LM0641-431503;202112782_layout_outline_44.pdf;5,5;6
LM2181;Siberian Platinum;Oblique;431510;722;LUMEN;2018_meteon.pdf;LM2181-431510;202112782_layout_outline_45.pdf;5,6;6
LM0561;Roman Bronze;Diffuse;431579;128;LUMEN;2018_meteon.pdf;LM0561-431579;202112782_layout_outline_46.pdf;5,7;6
L1971;Iceland Grey;Diffuse;431906;578;LUMEN;2018_meteon.pdf;L1971-431906;202112782_layout_outline_47.pdf;5,8;6
PU17;Aged Ash;Matt | Brown core;431165;1200;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU17-431165;202112782_layout_outline_48.pdf;5,9;6
PU17;Aged Ash;Matt | Brown core;431165;1200;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU17-431165;202112782_layout_outline_48.pdf;6;6
PU08;Romantic Walnut;Matt | Brown core;431168;1020;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU08-431168;202112782_layout_outline_49.pdf;6,1;7
PU08;Romantic Walnut;Matt | Brown core;431168;1020;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU08-431168;202112782_layout_outline_49.pdf;6,2;7
PU02;Classic Oak;Matt | Brown core;431169;1920;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU02-431169;202112782_layout_outline_50.pdf;6,3;7
PU30;Tropical Ipe;Matt | Brown core;431879;1380;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU30-431879;202112782_layout_outline_51.pdf;6,4;7
PU30;Tropical Ipe;Matt | Brown core;431879;1380;WOOD DECORS;2020 Pura Lumen Wood decor.pdf;PU30-431879;202112782_layout_outline_51.pdf;6,5;7
KNW27;Denver Oak;Matt;432243;150;WOOD DECORS;2020_Toplab_Vertical.pdf;KNW27-432243;202112782_layout_outline_52.pdf;6,6;7
